,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
0,b,30.83,u,g,0.0,w,0,True,v,1.25,True,1,False,202,g,Success
1,a,58.67,u,g,4.46,q,560,True,h,3.04,True,6,False,43,g,Success
2,a,24.5,u,g,0.5,q,824,False,h,1.5,True,0,False,280,g,Success
3,b,27.83,u,g,1.54,w,3,True,v,3.75,True,5,True,100,g,Success
4,b,25,u,g,11.25,c,1208,True,v,2.5,True,17,False,200,g,Success
5,b,23.25,u,g,1.0,c,0,False,v,0.835,True,0,False,300,s,Success
6,a,47.75,u,g,8.0,c,1260,True,v,7.875,True,6,True,0,g,Success
7,a,27.42,u,g,14.5,x,11,True,h,3.085,True,1,False,120,g,Success
8,a,41.17,u,g,6.5,q,0,True,v,0.5,True,3,True,145,g,Success
9,a,15.83,u,g,0.585,c,0,True,h,1.5,True,2,False,100,g,Success
10,a,47,u,g,13.0,i,0,True,bb,5.165,True,9,True,0,g,Success
11,b,56.58,u,g,18.5,d,0,True,bb,15.0,True,17,True,0,g,Success
12,b,57.42,u,g,8.5,e,0,True,h,7.0,True,3,False,0,g,Success
13,b,42.08,u,g,1.04,w,10000,True,v,5.0,True,6,True,500,g,Success
14,b,29.25,u,g,14.79,aa,0,True,v,5.04,True,5,True,168,g,Success
15,b,42,u,g,9.79,x,0,True,h,7.96,True,8,False,0,g,Success
16,b,49.5,u,g,7.585,i,5000,True,bb,7.585,True,15,True,0,g,Success
17,a,36.75,u,g,5.125,e,4000,False,v,5.0,True,0,True,0,g,Success
18,a,22.58,u,g,10.75,q,560,True,v,0.415,True,5,True,0,g,Success
19,b,27.83,u,g,1.5,w,35,True,v,2.0,True,11,True,434,g,Success
20,b,27.25,u,g,1.585,cc,713,True,h,1.835,True,12,True,583,g,Success
21,a,23,u,g,11.75,x,551,True,h,0.5,True,2,True,300,g,Success
22,b,27.75,y,p,0.585,cc,500,True,v,0.25,True,2,False,260,g,Success
23,b,54.58,u,g,9.415,ff,300,True,ff,14.415,True,11,True,30,g,Success
24,b,34.17,u,g,9.17,c,221,True,v,4.5,True,12,True,0,g,Success
25,b,28.92,u,g,15.0,c,2283,True,h,5.335,True,11,False,0,g,Success
26,b,29.67,u,g,1.415,w,100,True,h,0.75,True,1,False,240,g,Success
27,b,39.58,u,g,13.915,w,0,True,v,8.625,True,6,True,70,g,Success
28,b,56.42,y,p,28.0,c,15,True,v,28.5,True,40,False,0,g,Success
29,b,54.33,u,g,6.75,c,284,True,h,2.625,True,11,True,0,g,Success
30,a,41,y,p,2.04,q,1236,True,h,0.125,True,23,True,455,g,Success
31,b,31.92,u,g,4.46,cc,300,True,h,6.04,True,3,False,311,g,Success
32,b,41.5,u,g,1.54,i,0,False,bb,3.5,False,0,False,216,g,Success
33,b,23.92,u,g,0.665,c,0,False,v,0.165,False,0,False,100,g,Success
34,a,25.75,u,g,0.5,c,0,False,h,0.875,True,0,True,491,g,Success
35,b,26,u,g,1.0,q,0,False,v,1.75,True,0,True,280,g,Success
36,b,37.42,u,g,2.04,w,5800,False,v,0.04,True,0,True,400,g,Success
37,b,34.92,u,g,2.5,w,200,False,v,0.0,True,0,True,239,g,Success
38,b,34.25,u,g,3.0,cc,0,False,h,7.415,True,0,True,0,g,Success
39,b,23.33,y,p,11.625,w,300,False,v,0.835,True,0,True,160,g,Success
40,b,23.17,u,g,0.0,cc,0,False,v,0.085,True,0,False,0,g,Success
41,b,44.33,u,g,0.5,i,0,False,h,5.0,True,0,True,320,g,Success
42,b,35.17,u,g,4.5,x,0,False,h,5.75,False,0,True,711,s,Success
