A1,A2,A3_u,A3_y,A4_gg,A4_p,A5,A6_aa,A6_c,A6_cc,A6_d,A6_e,A6_ff,A6_i,A6_j,A6_k,A6_m,A6_q,A6_r,A6_w,A6_x,A7,A8,A9_bb,A9_dd,A9_ff,A9_h,A9_j,A9_n,A9_o,A9_v,A9_z,A10,A11,A12,A13,A14,A15_p,A15_s,A16
1,30.83,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.25,1,1,0,202,0,0,1
0,58.67,1,0,0,0,4.46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,560,1,0,0,0,1,0,0,0,0,0,3.04,1,6,0,43,0,0,1
0,24.5,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,824,0,0,0,0,1,0,0,0,0,0,1.5,1,0,0,280,0,0,1
1,27.83,1,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,3.75,1,5,1,100,0,0,1
1,25,1,0,0,0,11.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1208,1,0,0,0,0,0,0,0,1,0,2.5,1,17,0,200,0,0,1
1,23.25,1,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.835,1,0,0,300,0,1,1
0,47.75,1,0,0,0,8.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1260,1,0,0,0,0,0,0,0,1,0,7.875,1,6,1,0,0,0,1
0,27.42,1,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0,1,0,0,0,0,0,3.085,1,1,0,120,0,0,1
0,41.17,1,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.5,1,3,1,145,0,0,1
0,15.83,1,0,0,0,0.585,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5,1,2,0,100,0,0,1
0,47,1,0,0,0,13.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5.165,1,9,1,0,0,0,1
1,56.58,1,0,0,0,18.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,15.0,1,17,1,0,0,0,1
1,57.42,1,0,0,0,8.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7.0,1,3,0,0,0,0,1
1,42.08,1,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10000,1,0,0,0,0,0,0,0,1,0,5.0,1,6,1,500,0,0,1
1,29.25,1,0,0,0,14.79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5.04,1,5,1,168,0,0,1
1,42,1,0,0,0,9.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,7.96,1,8,0,0,0,0,1
1,49.5,1,0,0,0,7.585,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5000,1,1,0,0,0,0,0,0,0,0,7.585,1,15,1,0,0,0,1
0,36.75,1,0,0,0,5.125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,1,0,5.0,1,0,1,0,0,0,1
0,22.58,1,0,0,0,10.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,560,1,0,0,0,0,0,0,0,1,0,0.415,1,5,1,0,0,0,1
1,27.83,1,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,1,0,0,0,0,0,0,0,1,0,2.0,1,11,1,434,0,0,1
1,27.25,1,0,0,0,1.585,0,0,1,0,0,0,0,0,0,0,0,0,0,0,713,1,0,0,0,1,0,0,0,0,0,1.835,1,12,1,583,0,0,1
0,23,1,0,0,0,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,551,1,0,0,0,1,0,0,0,0,0,0.5,1,2,1,300,0,0,1
1,27.75,0,1,0,1,0.585,0,0,1,0,0,0,0,0,0,0,0,0,0,0,500,1,0,0,0,0,0,0,0,1,0,0.25,1,2,0,260,0,0,1
1,54.58,1,0,0,0,9.415,0,0,0,0,0,1,0,0,0,0,0,0,0,0,300,1,0,0,1,0,0,0,0,0,0,14.415,1,11,1,30,0,0,1
1,34.17,1,0,0,0,9.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,221,1,0,0,0,0,0,0,0,1,0,4.5,1,12,1,0,0,0,1
1,28.92,1,0,0,0,15.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2283,1,0,0,0,1,0,0,0,0,0,5.335,1,11,0,0,0,0,1
1,29.67,1,0,0,0,1.415,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,1,0,0,0,1,0,0,0,0,0,0.75,1,1,0,240,0,0,1
1,39.58,1,0,0,0,13.915,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,8.625,1,6,1,70,0,0,1
1,56.42,0,1,0,1,28.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,1,0,28.5,1,40,0,0,0,0,1
1,54.33,1,0,0,0,6.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,284,1,0,0,0,1,0,0,0,0,0,2.625,1,11,1,0,0,0,1
